method,dataset,run,ticker filename,total return,profit per trade,total log return,avg return,avg log return,total investment,sharpe ratio,total trading days skipped,total trading days successful,total trading days
Adv-ALSTM,stocknet,1,PCLN.csv,278.3798810000003,234.3798810000003,0.20697815902223024,6.326815477272734,0.004704049068687051,23.49999700000035,0.2190294076830634,0,24,44
Adv-ALSTM,stocknet,1,BA.csv,-10.673446999999896,-53.673446999999896,-0.0791751554597647,-0.2482196976744162,-0.001841282685110807,14.24560500000004,-0.10965669913043113,0,26,43
Adv-ALSTM,stocknet,1,CELG.csv,34.89000299999998,-16.10999700000002,0.308235505894547,0.6841177058823525,0.006043833448912687,10.969996999999978,0.2117824225837117,0,26,51
Adv-ALSTM,stocknet,1,SPLP.csv,0.39615600000001194,-35.60384399999999,0.02746325795948972,0.011004333333333664,0.0007628682766524922,-0.23767599999999334,0.0389049448937079,0,14,36
Adv-ALSTM,stocknet,1,T.csv,3.697224999999996,-31.302775000000004,0.12038954182389847,0.10563499999999988,0.0034397011949685277,1.366301,0.29068817804101676,0,17,35
Adv-ALSTM,stocknet,1,C.csv,5.936313999999996,-39.063686000000004,0.11029128065311604,0.13191808888888878,0.0024509173478470233,2.261250000000004,0.13607330523097524,0,20,45
Adv-ALSTM,stocknet,1,MO.csv,0.2584690000000123,-38.74153099999999,0.004801067692539246,0.006627410256410571,0.0001231042998086986,4.173513000000007,0.00803450010324846,0,23,39
Adv-ALSTM,stocknet,1,AMGN.csv,51.89126600000006,4.8912660000000585,0.3532944495026053,1.1040694893617033,0.007516903180906496,21.708403999999945,0.3848698439135576,0,26,47
Adv-ALSTM,stocknet,1,IEP.csv,13.113339000000003,-38.886661,0.21446029105228148,0.2521795961538462,0.0041242363663900284,-3.8341349999999963,0.19943212554883383,0,23,52
Adv-ALSTM,stocknet,1,PEP.csv,3.0998829999999913,-31.90011700000001,0.03348675743917961,0.08856808571428547,0.0009567644982622746,7.787198999999973,0.07478084645008945,0,19,35
Adv-ALSTM,stocknet,1,HD.csv,-0.32473600000000147,-37.324736,-0.0007056032918476077,-0.008776648648648688,-1.907035923912453e-05,16.443311999999963,-0.0048517893994019365,0,24,37
Adv-ALSTM,stocknet,1,D.csv,7.217427000000036,-25.782572999999964,0.11696072454537253,0.21870990909091018,0.0035442643801628037,-3.1244190000000103,0.24910834905502796,0,15,33
Adv-ALSTM,stocknet,1,AAPL.csv,14.094890999999961,-31.90510900000004,0.11919379101631086,0.30641067391304266,0.0025911693699198013,-3.3450929999999914,0.15288199978456327,0,20,46
Adv-ALSTM,stocknet,1,VZ.csv,2.2598489999999742,-40.740151000000026,0.05539296122211786,0.05255462790697615,0.001288208400514369,2.3706649999999883,0.10418915776593875,0,21,43
Adv-ALSTM,stocknet,1,BHP.csv,-1.3325329999999944,-60.332533,-0.08281587728577884,-0.02258530508474567,-0.001403658937047099,-5.5506509999999984,-0.031193070201804347,0,28,59
Adv-ALSTM,stocknet,1,SNP.csv,12.642096999999993,-31.357903000000007,0.20265160099982993,0.2873203863636362,0.004605718204541589,-2.4456089999999904,0.1847846983249891,0,21,44
Adv-ALSTM,stocknet,1,SO.csv,7.5486780000000095,-28.45132199999999,0.18161720319727878,0.20968550000000027,0.005044922311035521,2.1593680000000006,0.3815107329416521,0,21,36
Adv-ALSTM,stocknet,1,UTX.csv,15.066326000000046,-23.933673999999954,0.16699855625056023,0.3863160512820525,0.004282014262834878,8.956280000000035,0.29191013642073194,0,22,39
Adv-ALSTM,stocknet,1,BUD.csv,-2.9955590000000143,-44.995559000000014,-0.024976153710868386,-0.07132283333333367,-0.0005946703264492472,19.791077,-0.044462825939760774,0,25,42
Adv-ALSTM,stocknet,1,PTR.csv,20.844252999999995,-34.155747000000005,0.29255833479735466,0.3789864181818181,0.005319242450860994,-4.121732999999992,0.22722684503577018,0,27,55
Adv-ALSTM,stocknet,1,CODI.csv,1.2326219999999992,-40.767378,0.08908087303004439,0.02934814285714284,0.0021209731673820093,0.1650920000000049,0.16293226624821489,0,20,42
Adv-ALSTM,stocknet,1,DIS.csv,-0.8420140000000202,-42.84201400000002,-0.014227278845550192,-0.020047952380952864,-0.0003387447344178617,0.3126979999999975,-0.011429991185491989,0,22,42
Adv-ALSTM,stocknet,1,HRG.csv,1.7099999999999973,-45.290000000000006,0.135133965507287,0.0363829787234042,0.0028751907554741916,1.610000000000003,0.17102895839785962,0,25,47
Adv-ALSTM,stocknet,1,PG.csv,-3.034178999999966,-38.034178999999966,-0.04539380610295224,-0.08669082857142761,-0.0012969658886557783,6.936522999999994,-0.09136947737113212,0,21,35
Adv-ALSTM,stocknet,1,PCG.csv,10.689908000000017,-29.310091999999983,0.2127665345262779,0.2672477000000004,0.005319163363156947,0.3632039999999961,0.3742778924446936,0,21,40
Adv-ALSTM,stocknet,1,AMZN.csv,72.33990200000022,24.339902000000222,0.12666372191624256,1.5070812916666714,0.00263882753992172,175.03985599999993,0.12261868512160168,0,30,48
Adv-ALSTM,stocknet,1,BBL.csv,-0.08570899999999426,-56.085708999999994,-0.07487465600637988,-0.0015305178571427547,-0.001337047428685355,-7.456800999999992,-0.001978213396241379,0,25,56
Adv-ALSTM,stocknet,1,JPM.csv,7.339343000000021,-30.66065699999998,0.1122774100168112,0.19314060526315843,0.0029546686846529265,5.518189,0.17259112668233165,0,19,38
Adv-ALSTM,stocknet,1,REX.csv,11.409984000000009,-42.59001599999999,0.2116155837007402,0.21129600000000015,0.003918807105569263,3.1499979999999965,0.11581859895205374,0,27,54
