method,dataset,val accuracy,total val trading days skipped,total val trading days successful,total val trading days,total val return,total val log return,total val profit per trade,val total investment,avg val return,val sharpe ratio,test accuracy,total tes trading days skipped,total tes trading days successful,total tes trading days,total tes profit per trade,total tes return,total tes log return,tes total investment,avg tes return,tes sharpe ratio,run
Adv-ALSTM,stocknet,55.0293542074364,0,1406,2555,42031.09721600001,5.826107892836675,16.45052728610568,-21190.972426000004,16.45052728610568,0.049193631367269855,57.043010752688176,0,2122,3720,6.566587981989248,24427.707293000003,9.85308159732951,3592.949956999999,6.566587981989248,0.021779204457364216,1
Adv-ALSTM,stocknet,55.38160469667319,0,1415,2555,24360.071656000004,6.857633319310106,9.534274620743641,-21190.972426000004,9.534274620743641,0.028488388188901686,57.795698924731184,0,2150,3720,1.3922060153225806,5179.006377,10.513087880576876,3592.949956999999,1.3922060153225806,0.00461644191722126,2
Adv-ALSTM,stocknet,55.81213307240704,0,1426,2555,21639.811436,7.420532379368153,8.46959351702544,-21190.972426000004,8.46959351702544,0.025304957701396957,57.822580645161295,0,2151,3720,5.802676293817204,21585.955813,11.548503636747624,3592.949956999999,5.802676293817204,0.01924456118077938,3
Adv-ALSTM,stocknet,54.40313111545988,0,1390,2555,26703.063310000005,4.7281173165007715,10.45129679452055,-21190.972426000004,10.45129679452055,0.031231004333343408,55.75268817204301,0,2074,3720,2.668445369086022,9926.616773000002,7.115029123926284,3592.949956999999,2.668445369086022,0.008848599992022563,4
Adv-ALSTM,stocknet,55.303326810176124,0,1413,2555,14406.61561,6.786151771725661,5.638597107632094,-21190.972426000004,5.638597107632094,0.016843668138128064,57.31182795698925,0,2132,3720,-3.5132999454301075,-13069.475797,9.918422290365866,3592.949956999999,-3.5132999454301075,-0.011650483523588462,5
Adv-ALSTM,kdd17,51.49938042131351,0,4156,8070,737.6816719999995,4.160757645744197,0.0914103682775712,534.270002,0.0914103682775712,0.031279184684044774,52.838605028386056,0,3909,7398,0.0687383621248989,508.526403000002,8.125799738556488,462.0753230000008,0.0687383621248989,0.0224178100137384,1
Adv-ALSTM,kdd17,51.301115241635685,0,4140,8070,552.1875479999993,3.186966005474233,0.06842472713754638,534.270002,0.06842472713754638,0.023408826152550202,52.89267369559341,0,3913,7398,0.09731005528521242,719.8997890000014,8.474216275397907,462.0753230000008,0.09731005528521242,0.031743977434853354,2
Adv-ALSTM,kdd17,51.49938042131351,0,4156,8070,508.31105800000023,5.523896162170903,0.06298773952912022,534.270002,0.06298773952912022,0.02154787387832325,53.12246553122466,0,3930,7398,0.11163877439848618,825.9036530000008,7.980323116857624,462.0753230000008,0.11163877439848618,0.036424020974850695,3
Adv-ALSTM,kdd17,51.660470879801736,0,4169,8070,285.3849759999997,3.868406529893915,0.03536368971499377,534.270002,0.03536368971499377,0.012095865049901837,53.63611786969451,0,3968,7398,0.12747120316301705,943.0319610000001,8.826478326825045,462.0753230000008,0.12747120316301705,0.04159799987879373,4
Adv-ALSTM,kdd17,51.759603469640645,0,4177,8070,531.7905120000003,4.94044480785065,0.06589721338289967,534.270002,0.06589721338289967,0.02254368890456609,52.67639902676399,0,3897,7398,0.09681381386861339,716.2285950000019,6.467927707601039,462.0753230000008,0.09681381386861339,0.031581934255100204,5
