method,dataset,test acc,test mcc,test ll,test rs,test ps,test avg std,test avg var,test avg entr,valid acc,valid mcc,valid ll,valid rs,valid ps,valid avg std,valid avg var,valid avg entr,dropout,run,iterations,run save path
Adv-ALSTM,stocknet,57.2311828,0.14335,6.854361796,0.600628931,0.580253165,0.053307325,0.015106006,0.054088248,55.14677104,0.135114708,7.174331714,0.697980685,0.497808391,0.059030768,0.017011041,0.06057721,0.95,1,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.95/1
Adv-ALSTM,stocknet,57.66129032,0.154042603,6.789334954,0.561320755,0.592039801,0.034146011,0.009554769,0.034336243,55.34246575,0.128440334,7.14629679,0.657594381,0.499333333,0.040311996,0.011365169,0.040931447,0.95,2,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.95/2
Adv-ALSTM,stocknet,57.90322581,0.15653111,6.745757859,0.61687631,0.58499006,0.048375521,0.013329279,0.048343739,55.69471624,0.142547557,7.087663895,0.689201054,0.502239283,0.045022845,0.012421786,0.045017893,0.95,3,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.95/3
Adv-ALSTM,stocknet,55.59139785,0.122879228,7.13141709,0.427148847,0.593158661,0.059155852,0.017174391,0.060816814,54.44227006,0.065558598,7.308584015,0.417910448,0.487205732,0.053884923,0.015191822,0.05457702,0.95,4,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.95/4
Adv-ALSTM,stocknet,55.96774194,0.116711697,7.052194609,0.640461216,0.562097516,0.056986287,0.015463251,0.056481237,54.91193738,0.114892646,7.216927647,0.63213345,0.495526497,0.063102163,0.017209683,0.062728248,0.95,5,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.95/5
Adv-ALSTM,stocknet,57.2311828,0.143331838,6.854314562,0.60115304,0.580171978,0.077000394,0.02549386,0.084680143,55.02935421,0.132327914,7.193257071,0.695346795,0.496863237,0.08449088,0.028470188,0.093960598,0.9,1,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.9/1
Adv-ALSTM,stocknet,57.55376344,0.149568314,6.801942833,0.61163522,0.582044888,0.060131125,0.019779287,0.065903464,54.44227006,0.119349145,7.287608768,0.685689201,0.492123503,0.061995894,0.020421712,0.068134605,0.9,2,2000,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.9/2
Adv-ALSTM,stocknet,57.95698925,0.157569441,6.736997748,0.618972746,0.585232904,0.070685193,0.022432651,0.075565792,55.53816047,0.139089947,7.112828933,0.686567164,0.500960922,0.065187626,0.02094437,0.070244542,0.9,3,2000,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.9/3
Adv-ALSTM,stocknet,59.00537634,0.180943394,6.573874739,0.57442348,0.605859591,0.077199593,0.025484823,0.08460271,54.2074364,0.094158691,7.332199069,0.594381036,0.488808664,0.072924748,0.023616035,0.079078153,0.9,4,1000,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.9/4
Adv-ALSTM,stocknet,56.02150538,0.117785173,7.043434498,0.642557652,0.562385321,0.082211845,0.0260817,0.088091427,54.55968689,0.108623652,7.273084775,0.63213345,0.49247606,0.091440357,0.029349133,0.09874624,0.9,5,1000,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.9/5
Adv-ALSTM,stocknet,57.44623656,0.152936696,6.827634546,0.516771488,0.598664238,0.125027746,0.046655603,0.146755534,54.55968689,0.107054267,7.273634945,0.625109745,0.492392808,0.146570519,0.055713285,0.174168671,0.75,1,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.75/1
Adv-ALSTM,stocknet,57.84946237,0.157989847,6.759430311,0.560272537,0.594549499,0.085620731,0.030419143,0.097531821,55.42074364,0.128168271,7.134367599,0.650570676,0.5,0.095876016,0.035775293,0.112427164,0.75,2,2000,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.75/2
Adv-ALSTM,stocknet,57.87634409,0.15605655,6.750279616,0.614255765,0.585122317,0.115783967,0.041817762,0.133208675,56.12524462,0.150400569,7.018958635,0.690079017,0.505791506,0.106905654,0.038811732,0.123339853,0.75,3,2000,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.75/3
Adv-ALSTM,stocknet,57.6344086,0.153424404,6.793526073,0.562368973,0.591510474,0.136647806,0.05073965,0.15996005,54.59882583,0.093163731,7.272896969,0.554872695,0.491828794,0.140849903,0.053169947,0.16682763,0.75,4,500,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.75/4
Adv-ALSTM,stocknet,57.12365591,0.146211439,6.879108827,0.516247379,0.594447797,0.123080917,0.046253998,0.14509323,55.77299413,0.111104363,7.087013198,0.538191396,0.503697617,0.115306042,0.04332849,0.136112002,0.75,5,2000,./experiment1/dropout/tmp/stocknet/Adv-ALSTM/0.75/5
Adv-ALSTM,kdd17,52.25736686,0.039661699,7.651334926,0.569053708,0.546414538,0.370896369,0.14031063,0.449952418,51.97026022,0.042530381,7.692576466,0.587446216,0.508211079,0.374688745,0.14331536,0.456900177,0.05,1,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.05/1
