method,dataset,dropout,run,prob,prob measure,total val trading days skipped,total val trading days profitable,total val trading days averted loss by skipping,val trading days averted loss by skipping percentage of total skipped,total val trading days,total val return,total val return if without filtering,avg val return,val profit per trade,val sharpe ratio,dropout val acc,dropout val mcc,val acc,val mcc,val acc of y to log return,best benchmark val total return,best benchmark val total profit per trade,best benchmark val avg sharpe ratio,best benchmark val acc
Adv-ALSTM,stocknet,0.75,3,0,std,317,1312,195,61.51419558359621,2238,21817.613395000004,21536.925367999997,8.53918332485323,9.748710185433424,0.025513595519727886,56.1252446183953,0.15040056851155528,58.62377122430742,0.20042784611516384,100.0,42031.09721600002,16.45052728610568,0.049193631367269855,55.0293542074364
Adv-ALSTM,stocknet,0.75,3,0,var,263,1336,165,62.737642585551335,2292,21743.192369000004,21536.925367999997,8.510055721722114,9.486558625218152,0.0254261265200744,56.1252446183953,0.15040056851155528,58.289703315881326,0.1941745699613075,100.0,42031.09721600002,16.45052728610568,0.049193631367269855,55.0293542074364
Adv-ALSTM,stocknet,0.75,3,0,entr,315,1316,197,62.53968253968254,2240,21838.420588,21536.925367999997,8.547327040313112,9.749294905357143,0.025537920052034542,56.1252446183953,0.15040056851155528,58.75,0.2025436109175968,100.0,42031.09721600002,16.45052728610568,0.049193631367269855,55.0293542074364
Adv-ALSTM,kdd17,0.1,2,0,std,3152,2657,1604,50.888324873096444,4918,681.0734769999999,290.5921159999983,0.08439572205700123,0.13848586356242373,0.0616840149166857,52.10656753407683,0.04266420971155309,54.02602684017893,0.07978173572630683,100.0,737.6816719999996,0.0914103682775712,0.031279184684044774,51.499380421313504
Adv-ALSTM,kdd17,0.1,2,0,var,3212,2640,1647,51.276463262764636,4858,646.1888659999997,290.5921159999983,0.08007296976456006,0.1330154108686702,0.03564223966459183,52.10656753407683,0.04266420971155309,54.343351173322354,0.08626413116009765,100.0,737.6816719999996,0.0914103682775712,0.031279184684044774,51.499380421313504
Adv-ALSTM,kdd17,0.1,2,0,entr,3339,2587,1721,51.5423779574723,4731,743.9366260000002,290.5921159999983,0.09218545551425034,0.15724722595645743,0.06900485560574654,52.10656753407683,0.04266420971155309,54.681885436482766,0.09210876861027803,100.0,737.6816719999996,0.0914103682775712,0.031279184684044774,51.499380421313504
