method,dataset,dropout,run,prob,prob measure,total tes trading days skipped,total tes trading days profitable,total tes trading days averted loss by skipping,tes trading days averted loss by skipping percentage of total skipped,total tes trading days,total tes return,total tes return if without filtering,total tes log return,avg tes return,tes profit per trade,tes sharpe ratio,dropout tes acc,dropout tes mcc,tes acc,tes mcc,tes acc of y to log return,best benchmark tes total return,best benchmark tes total profit per trade,best benchmark tes avg sharpe ratio,best benchmark tes total log return,best benchmark tes acc
Adv-ALSTM,stocknet,0.05,1,,std,505,1620,268,53.069306930693074,3215,21416.120368000007,15591.000595000005,-1.253723415887509,5.757021604301078,6.661312711664077,0.019584194581237977,49.91935483870968,0.012773976610369994,50.38880248833593,0.035814374828050395,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,,var,523,1609,275,52.58126195028681,3197,20288.417016,15591.000595000005,-0.9859621369154956,5.453875541935484,6.346079767281826,0.01859001625891861,49.91935483870968,0.012773976610369994,50.328432905849226,0.035085458219452095,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,,entr,517,1614,274,52.9980657640232,3203,21424.807785000005,15591.000595000005,-0.9490163992303342,5.759356931451614,6.688981512644397,0.019592142386348592,49.91935483870968,0.012773976610369994,50.39025913206368,0.038617631229624735,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,2,,std,840,1644,395,47.023809523809526,2880,10042.411541,11618.835754999995,7.2977199763642675,2.699572994892473,3.486948451736111,0.008985073877271101,56.155913978494624,0.12269525405817666,57.08333333333333,0.1401773218506251,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,2,,var,777,1666,354,45.559845559845556,2943,7788.458789999998,11618.835754999995,7.003888226312561,2.093671717741935,2.6464351987767576,0.007020080749448824,56.155913978494624,0.12269525405817666,56.608902480462106,0.13028231783490124,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,2,,entr,846,1644,401,47.39952718676123,2874,8559.211516,11618.835754999995,7.4087620137259975,2.300863310752688,2.9781529283228947,0.009863771256564522,56.155913978494624,0.12269525405817666,57.20250521920668,0.14221164117475138,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,3,,std,1058,1498,539,50.94517958412098,2662,-1663.6582039999982,13235.344143000004,5.0095764058029015,-0.44721994731182746,-0.6249655161532676,-0.003542014874864653,54.22043010752689,0.09398277093327861,56.27347858752817,0.1298914033956223,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,3,,var,1083,1491,557,51.43120960295475,2637,3520.378716000001,13235.344143000004,5.431593109552207,0.9463383645161293,1.3349938248009106,0.00548095695023253,54.22043010752689,0.09398277093327861,56.5415244596132,0.13515037950557582,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,3,,entr,1126,1459,568,50.44404973357016,2594,3516.394381000003,13235.344143000004,5.190183580481918,0.9452673067204309,1.3555876565150358,0.005474754871485351,54.22043010752689,0.09398277093327861,56.24518118735543,0.12961302329919291,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,4,,std,851,1583,424,49.82373678025852,2869,-15807.633193999998,-15813.256801,5.232333323989536,-4.249363761827957,-5.509805923318229,-0.014091847244547753,54.03225806451613,0.10666403512498143,55.17601951899616,0.12136940665579209,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
