method,dataset,dropout,prob,prob measure,run,ticker filename,total log return,avg log return,sharpe ratio,best benchmark log return,best benchmark sharpe ratio,total trading days skipped,total trading days successful,total trading days,total trading days correctly skipped,std log return before action
Adv-ALSTM,stocknet,0.5,1.0,std,5,GOOG.csv,0.29035437129230124,0.006598962983915937,0.3859184622401854,0.08724310001676552,0.10866895104248384,1,23,44,1,0.01782295072984667
Adv-ALSTM,stocknet,0.5,1.0,std,5,BUD.csv,0.15372829334464647,0.0036601974605868204,0.2741969934834039,-0.008731728362150389,-0.015008862285787959,1,24,42,1,0.013422472911028459
Adv-ALSTM,stocknet,0.5,1.0,std,5,GE.csv,-0.07648665904458118,-0.002067207001204897,-0.12414823953437029,-0.2423907594986643,-0.4250533840338161,1,21,37,1,0.015809242468487444
Adv-ALSTM,stocknet,0.5,1.0,std,5,DIS.csv,-0.06247311441781993,-0.0014874551051861887,-0.09024554873778247,-0.13484684274004705,-0.19783609594939808,1,21,42,1,0.01654513300089525
Adv-ALSTM,stocknet,0.5,1.0,std,5,PEP.csv,0.05979865551454384,0.0017085330147012525,0.13344819513484277,0.013155449196577284,0.029105261489905963,1,18,35,1,0.01284152041100292
Adv-ALSTM,stocknet,0.5,1.0,std,5,TOT.csv,0.12089402836385063,0.0028114890317174567,0.15432648178180683,0.22203224446917408,0.2920080296662417,1,19,43,1,0.018435319184570732
Adv-ALSTM,stocknet,0.5,1.0,std,5,ABB.csv,0.196807540868203,0.00468589383019531,0.3508455830623105,0.1864009134850211,0.3301576303430653,1,21,42,1,0.014170691392710091
Adv-ALSTM,stocknet,0.5,1.0,std,5,HD.csv,0.14363423270896616,0.003882006289431518,0.2622547037212853,-0.06275298492971787,-0.11143512368021596,1,23,37,1,0.014918192557341448
Adv-ALSTM,stocknet,0.5,1.0,std,5,PTR.csv,0.3365374125831515,0.006118862046966391,0.26990227965842445,0.19200071623255435,0.15026985867128398,1,26,55,1,0.023464293688495896
Adv-ALSTM,stocknet,0.5,1.0,std,5,BABA.csv,0.3919233252472861,0.007838466504945723,0.3356944127129695,0.4137348929033916,0.3567308952779799,1,28,50,1,0.02412688588124087
Adv-ALSTM,stocknet,0.5,1.0,std,5,SRE.csv,0.18129266559602625,0.004421772331610396,0.3017456522722924,0.014538696088496712,0.02314890792220936,1,18,41,1,0.015294140583889474
Adv-ALSTM,stocknet,0.5,1.0,std,5,AAPL.csv,-0.0847438795828215,-0.0018422582518004672,-0.09922892203366587,0.05571120267428745,0.06504815203919245,1,20,46,1,0.018642200665324894
Adv-ALSTM,stocknet,0.5,1.0,std,5,BCH.csv,0.04093738754800905,0.0009520322685583499,0.0665544754036692,0.17650365910775698,0.2991314649137237,1,19,43,1,0.014302302262392371
