method,dataset,dropout,total val trading days skipped,total val trading days successful,total val trading days successfuly skipped,ratio of val trading days successfully skipped over total,total val trading days,total val log return,avg val log return,val sharpe ratio,val acc,val mcc,total tes trading days skipped,total tes trading days successful,total tes trading days successfuly skipped,ratio of tes trading days successfully skipped over total,total tes trading days,total tes log return,avg tes log return,tes sharpe ratio,tes acc,tes mcc,run,prob,prob measure,val acc filtered,val mcc filtered,tes acc filtered,tes mcc filtered,val gt acc,tes gt acc
Adv-ALSTM,stocknet,0.5,87,1286,87,1.0,2555,2.2379704789660075,0.0008759179956814119,0.0381143517354,51.97651663405088,0.05099313521856975,87,1993,87,1.0,3720,7.717451778754722,0.0020745838114932047,0.10604589514023316,57.33870967741935,0.1450124158065286,5,1.0,std,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,87,1286,87,1.0,2555,2.2379704789660075,0.0008759179956814119,0.0381143517354,51.97651663405088,0.05099313521856975,87,1993,87,1.0,3720,7.717451778754722,0.0020745838114932047,0.10604589514023316,57.33870967741935,0.1450124158065286,5,0.9,std,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,87,1286,87,1.0,2555,2.2379704789660075,0.0008759179956814119,0.0381143517354,51.97651663405088,0.05099313521856975,87,1993,87,1.0,3720,7.717451778754722,0.0020745838114932047,0.10604589514023316,57.33870967741935,0.1450124158065286,5,0.8,std,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,87,1286,87,1.0,2555,2.2379704789660075,0.0008759179956814119,0.0381143517354,51.97651663405088,0.05099313521856975,87,1993,87,1.0,3720,7.717451778754722,0.0020745838114932047,0.10604589514023316,57.33870967741935,0.1450124158065286,5,0.7,std,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,87,1286,87,1.0,2555,2.2379704789660075,0.0008759179956814119,0.0381143517354,51.97651663405088,0.05099313521856975,87,1993,87,1.0,3720,7.717451778754722,0.0020745838114932047,0.10604589514023316,57.33870967741935,0.1450124158065286,5,0.6,std,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,91,1286,91,1.0,2555,2.3121282962279035,0.0009049425816938957,0.039402984231788556,51.97651663405088,0.05099313521856975,90,1992,89,0.9888888888888889,3720,7.715981896453053,0.002074188681842219,0.10613134792669442,57.33870967741935,0.1450124158065286,5,0.5,std,52.054794520547944,0.05237971148893051,57.33870967741935,0.14540598477743263,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,520,1113,347,0.6673076923076923,2555,4.989476603094063,0.0019528284160837822,0.09705060950255294,51.97651663405088,0.05099313521856975,815,1575,397,0.48711656441717793,3720,5.146400080665215,0.0013834408818992512,0.07932419810369899,57.33870967741935,0.1450124158065286,5,0.4,std,61.487279843444234,0.17095455148463123,66.26344086021506,0.3066137253936247,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,711,1020,445,0.6258790436005626,2555,5.287044379615946,0.002069293299262601,0.10837989539831705,51.97651663405088,0.05099313521856975,1222,1345,574,0.469721767594108,3720,3.8883085971679607,0.001045244246550527,0.06528653276124072,57.33870967741935,0.1450124158065286,5,0.3,std,66.02739726027397,0.20612255964386972,70.86021505376344,0.3407915864355703,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,902,925,541,0.5997782705099778,2555,5.2196386513387205,0.002042911409525918,0.11857635921711772,51.97651663405088,0.05099313521856975,1537,1180,724,0.47104749512036437,3720,3.2395639748448035,0.000870850530872259,0.05814685992472827,57.33870967741935,0.1450124158065286,5,0.2,std,70.33268101761252,0.2253454421471303,74.83870967741936,0.3583911482944656,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,1077,840,631,0.585886722376973,2555,5.449054914176491,0.002132702510440897,0.1328949378225742,51.97651663405088,0.05099313521856975,1863,1003,873,0.46859903381642515,3720,2.491126307917887,0.000669657609655346,0.048129779943755155,57.33870967741935,0.1450124158065286,5,0.1,std,73.97260273972603,0.21548766574420938,78.76344086021506,0.350594868424774,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,2555,0,1269,0.49667318982387476,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1727,0.464247311827957,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,0.0,std,100.0,0.0,100.0,0.0,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,87,1286,87,1.0,2555,2.2379704789660075,0.0008759179956814119,0.0381143517354,51.97651663405088,0.05099313521856975,87,1993,87,1.0,3720,7.717451778754722,0.0020745838114932047,0.10604589514023316,57.33870967741935,0.1450124158065286,5,1.0,var,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,87,1286,87,1.0,2555,2.2379704789660075,0.0008759179956814119,0.0381143517354,51.97651663405088,0.05099313521856975,87,1993,87,1.0,3720,7.717451778754722,0.0020745838114932047,0.10604589514023316,57.33870967741935,0.1450124158065286,5,0.9,var,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,87,1286,87,1.0,2555,2.2379704789660075,0.0008759179956814119,0.0381143517354,51.97651663405088,0.05099313521856975,87,1993,87,1.0,3720,7.717451778754722,0.0020745838114932047,0.10604589514023316,57.33870967741935,0.1450124158065286,5,0.8,var,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,87,1286,87,1.0,2555,2.2379704789660075,0.0008759179956814119,0.0381143517354,51.97651663405088,0.05099313521856975,87,1993,87,1.0,3720,7.717451778754722,0.0020745838114932047,0.10604589514023316,57.33870967741935,0.1450124158065286,5,0.7,var,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,87,1286,87,1.0,2555,2.2379704789660075,0.0008759179956814119,0.0381143517354,51.97651663405088,0.05099313521856975,87,1993,87,1.0,3720,7.717451778754722,0.0020745838114932047,0.10604589514023316,57.33870967741935,0.1450124158065286,5,0.6,var,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,50.04051863857374,50.92210294522433
