method,dataset,dropout,prob,prob measure,run,ticker filename,total log return,avg log return,sharpe ratio,best benchmark log return,best benchmark sharpe ratio,total trading days skipped,total trading days successful,total trading days,total trading days correctly skipped,std log return before action
Adv-ALSTM,stocknet,0.5,0.9,std,5,BUD.csv,0.0,0.0,,-0.08304377519897878,-0.1396973916323877,42,0,42,20,0.013606395453754869
Adv-ALSTM,stocknet,0.5,0.9,std,5,CMCSA.csv,0.0,0.0,,0.13443611841780584,0.22805907969382724,39,0,39,14,0.015511951974427552
Adv-ALSTM,stocknet,0.5,0.9,std,5,SRE.csv,0.0,0.0,,0.08337022662835993,0.12931018366947136,41,0,41,17,0.015856483865778148
Adv-ALSTM,stocknet,0.5,0.9,std,5,PEP.csv,0.0,0.0,,-0.08178424640453713,-0.1888038930124438,35,0,35,16,0.01236337487930957
Adv-ALSTM,stocknet,0.5,0.9,std,5,BAC.csv,0.0,0.0,,0.16443346056285602,0.18449898158109626,46,0,46,20,0.019616196448535513
Adv-ALSTM,stocknet,0.5,0.9,std,5,GOOG.csv,0.0,0.0,,0.25392474727188624,0.32645438491240003,44,0,44,18,0.017938403660825462
Adv-ALSTM,stocknet,0.5,0.9,std,5,TM.csv,0.0,0.0,,0.0875028890755187,0.15125566278219935,44,0,44,21,0.013223412278750471
Adv-ALSTM,stocknet,0.5,0.9,std,5,MA.csv,0.0,0.0,,0.21197149357237474,0.3643401780046289,40,0,40,14,0.01541652596864317
Adv-ALSTM,stocknet,0.5,0.9,std,5,NEE.csv,0.0,0.0,,0.2133692426209492,0.38692437415489067,38,0,38,16,0.015529974336984153
Adv-ALSTM,stocknet,0.5,0.9,std,5,AEP.csv,0.0,0.0,,0.23630236251930464,0.4078109290075236,39,0,39,17,0.01606243487402411
Adv-ALSTM,stocknet,0.5,0.9,std,5,GE.csv,0.0,0.0,,-0.14292535394131772,-0.2477958827796741,37,0,37,17,0.01503379001454672
Adv-ALSTM,stocknet,0.5,0.9,std,5,UPS.csv,0.0,0.0,,0.07156231442672459,0.1493162492646772,38,0,38,16,0.01273708499007513
Adv-ALSTM,stocknet,0.5,0.9,std,5,HD.csv,0.0,0.0,,0.02105948956802187,0.03828193984222479,37,0,37,16,0.014390367323790652
Adv-ALSTM,stocknet,0.5,0.9,std,5,MMM.csv,0.0,0.0,,0.14544048268921314,0.2316856058985011,38,0,38,12,0.01686732653759887
Adv-ALSTM,stocknet,0.5,0.9,std,5,SO.csv,0.0,0.0,,0.16786329957320972,0.3455551714825698,36,0,36,15,0.014223797372112284
Adv-ALSTM,stocknet,0.5,0.9,std,5,MSFT.csv,0.0,0.0,,-0.08032285836808332,-0.0927113579240946,40,0,40,17,0.0211168005924134
Adv-ALSTM,stocknet,0.5,0.9,std,5,CSCO.csv,0.0,0.0,,-0.030693516229065562,-0.04164928344465451,42,0,42,20,0.017518401716279268
Adv-ALSTM,stocknet,0.5,0.9,std,5,HON.csv,0.0,0.0,,0.23710310164304896,0.3767348714449422,39,0,39,12,0.01712029951232948
Adv-ALSTM,stocknet,0.5,0.9,std,5,GD.csv,0.0,0.0,,0.060777565861855724,0.1046083857153347,43,0,43,23,0.013587098897657985
Adv-ALSTM,stocknet,0.5,0.9,std,5,C.csv,0.0,0.0,,0.2116723844326312,0.258581366923017,45,0,45,17,0.01877514443244006
Adv-ALSTM,stocknet,0.5,0.9,std,5,ORCL.csv,0.0,0.0,,0.1368038324621021,0.1785607715320734,45,0,45,18,0.017288798529312345
Adv-ALSTM,stocknet,0.5,0.9,std,5,FB.csv,0.0,0.0,,-0.1134277158410756,-0.1279179250417107,51,0,51,21,0.017260425127164736
Adv-ALSTM,stocknet,0.5,0.9,std,5,BBL.csv,0.0,0.0,,-0.03650497197952862,-0.022452779933875698,56,0,56,30,0.028542650839111578
Adv-ALSTM,stocknet,0.5,0.9,std,5,CHTR.csv,0.0,0.0,,0.16133457474539947,0.18808267312656604,42,0,42,15,0.02078102028333107
Adv-ALSTM,stocknet,0.5,0.9,std,5,BHP.csv,0.0,0.0,,-0.02545397993180441,-0.016990275788568154,59,0,59,26,0.025158727847205378
Adv-ALSTM,stocknet,0.5,0.9,std,5,BSAC.csv,0.0,0.0,,0.3478731363877186,0.4841074984109385,42,0,42,18,0.019027599986319595
Adv-ALSTM,stocknet,0.5,0.9,std,5,PCG.csv,0.0,0.0,,0.060805713910755226,0.10041641517389313,40,0,40,12,0.015215250877418192
Adv-ALSTM,stocknet,0.5,0.9,std,5,UL.csv,0.0,0.0,,-0.0323820034247283,-0.058010324261552226,37,0,37,16,0.015005631687421068
Adv-ALSTM,stocknet,0.5,0.9,std,5,JNJ.csv,0.0,0.0,,0.04690755788377212,0.10793881639754492,34,0,34,11,0.01246777982166158
Adv-ALSTM,stocknet,0.5,0.9,std,5,UNH.csv,0.0,0.0,,0.15763655478392508,0.1734812931103044,46,0,46,20,0.02005337225286516
Adv-ALSTM,stocknet,0.5,0.9,std,5,DHR.csv,0.0,0.0,,-0.06351277891388754,-0.12313684705108953,32,0,32,13,0.01603798763723474
Adv-ALSTM,stocknet,0.5,0.9,std,5,INTC.csv,0.0,0.0,,0.07433696839179622,0.10829050006889628,43,0,43,17,0.015564356522974943
Adv-ALSTM,stocknet,0.5,0.9,std,5,EXC.csv,0.0,0.0,,0.05629461447597818,0.07094430970460752,45,0,45,22,0.01762724722763679
Adv-ALSTM,stocknet,0.5,0.9,std,5,SNY.csv,0.0,0.0,,0.3063201627120992,0.3561496417364679,43,0,43,17,0.02113332162310807
Adv-ALSTM,stocknet,0.5,0.9,std,5,UTX.csv,0.0,0.0,,0.14739036505025166,0.25622689004611965,39,0,39,15,0.015012787701121166
Adv-ALSTM,stocknet,0.5,0.9,std,5,MRK.csv,0.0,0.0,,0.03338299647634595,0.04937032865247847,37,0,37,14,0.018186319375141514
Adv-ALSTM,stocknet,0.5,0.9,std,5,KO.csv,0.0,0.0,,0.003123607721156966,0.006477741500938248,38,0,38,20,0.012446238381806559
Adv-ALSTM,stocknet,0.5,0.9,std,5,TSM.csv,0.0,0.0,,0.1940886337801749,0.2925811798600195,42,0,42,15,0.016334212109280734
Adv-ALSTM,stocknet,0.5,0.9,std,5,HSBC.csv,0.0,0.0,,0.15321347454396794,0.2585594468472051,42,0,42,15,0.014574259716409172
Adv-ALSTM,stocknet,0.5,0.9,std,5,PICO.csv,0.0,0.0,,-0.1687385576488277,-0.09583954155825523,54,0,54,27,0.03273939666827286
Adv-ALSTM,stocknet,0.5,0.9,std,5,SLB.csv,0.0,0.0,,0.11271048103142114,0.1194079431654574,48,0,48,24,0.01980414897383754
Adv-ALSTM,stocknet,0.5,0.9,std,5,SPLP.csv,0.0,0.0,,0.10430378444427099,0.17433700985656933,36,0,36,17,0.016872129248032077
Adv-ALSTM,stocknet,0.5,0.9,std,5,LMT.csv,0.0,0.0,,0.11268552134217293,0.2087211924622432,41,0,41,22,0.013445485532977688
Adv-ALSTM,stocknet,0.5,0.9,std,5,XOM.csv,0.0,0.0,,0.13151924616397995,0.15092292028179627,46,0,46,21,0.019131650627208306
Adv-ALSTM,stocknet,0.5,0.9,std,5,ABB.csv,0.0,0.0,,0.2671522103716465,0.5088687786494224,42,0,42,15,0.014043406562376836
Adv-ALSTM,stocknet,0.5,0.9,std,5,AMGN.csv,0.0,0.0,,0.3608927252843402,0.3957868605058532,47,0,47,16,0.02063517759467536
Adv-ALSTM,stocknet,0.5,0.9,std,5,WMT.csv,0.0,0.0,,0.13879726799603134,0.16488620638745194,39,0,39,23,0.02185149689970355
Adv-ALSTM,stocknet,0.5,0.9,std,5,BP.csv,0.0,0.0,,0.3870896267830812,0.4046541976779689,45,0,45,20,0.022961836266112156
Adv-ALSTM,stocknet,0.5,0.9,std,5,CHL.csv,0.0,0.0,,0.18303859819795634,0.2957084560848776,43,0,43,15,0.014954256800369617
Adv-ALSTM,stocknet,0.5,0.9,std,5,SNP.csv,0.0,0.0,,0.2110632119529182,0.18746844420212816,44,0,44,12,0.026025472374230016
Adv-ALSTM,stocknet,0.5,0.9,std,5,T.csv,0.0,0.0,,0.08049815079812342,0.1896790828861871,35,0,35,13,0.012278315063132948
Adv-ALSTM,stocknet,0.5,0.9,std,5,CELG.csv,0.0,0.0,,0.3764269652333152,0.2675137965598761,51,0,51,20,0.02851579736810363
Adv-ALSTM,stocknet,0.5,0.9,std,5,CODI.csv,0.0,0.0,,0.11605336382524628,0.21326981859280045,42,0,42,22,0.01325139537981
Adv-ALSTM,stocknet,0.5,0.9,std,5,MCD.csv,0.0,0.0,,-0.11859907963163616,-0.22161112385869144,30,0,30,15,0.017257442172672152
Adv-ALSTM,stocknet,0.5,0.9,std,5,V.csv,0.0,0.0,,0.0948341289926978,0.13176539693001696,46,0,46,17,0.015564786100176033
Adv-ALSTM,stocknet,0.5,0.9,std,5,RDS-B.csv,0.0,0.0,,0.10693969997096288,0.0920213254307394,51,0,51,21,0.022884727764874952
Adv-ALSTM,stocknet,0.5,0.9,std,5,PPL.csv,0.0,0.0,,0.16510683999920633,0.24495463088783997,46,0,46,15,0.015057471456451714
Adv-ALSTM,stocknet,0.5,0.9,std,5,DIS.csv,0.0,0.0,,0.0029487811933648113,0.004370777305615847,42,0,42,23,0.016063006391034026
Adv-ALSTM,stocknet,0.5,0.9,std,5,WFC.csv,0.0,0.0,,0.16755278589877096,0.28248593070763633,42,0,42,17,0.014617963288119517
Adv-ALSTM,stocknet,0.5,0.9,std,5,MO.csv,0.0,0.0,,0.03820678302562412,0.06527645177122618,39,0,39,18,0.014900812072290838
Adv-ALSTM,stocknet,0.5,0.9,std,5,BCH.csv,0.0,0.0,,0.1550445098584845,0.2610647331537441,43,0,43,16,0.014245862241060213
Adv-ALSTM,stocknet,0.5,0.9,std,5,NVS.csv,0.0,0.0,,-0.07007854971715749,-0.12190105823349033,47,0,47,23,0.012242951319884994
Adv-ALSTM,stocknet,0.5,0.9,std,5,PM.csv,0.0,0.0,,0.003301327086854147,0.006367798581429726,37,0,37,17,0.013658391934913684
Adv-ALSTM,stocknet,0.5,0.9,std,5,PTR.csv,0.0,0.0,,0.3873822734301762,0.3101578253031063,55,0,55,17,0.02376864891444589
Adv-ALSTM,stocknet,0.5,0.9,std,5,MDT.csv,0.0,0.0,,0.15780393141907662,0.2892966836414626,37,0,37,8,0.014808858703250646
Adv-ALSTM,stocknet,0.5,0.9,std,5,NGG.csv,0.0,0.0,,0.09837146971898153,0.20884003577264526,30,0,30,14,0.016048579149502747
Adv-ALSTM,stocknet,0.5,0.9,std,5,BRK-A.csv,0.0,0.0,,0.12865815056495794,0.22507436923892493,40,0,40,20,0.014652391249440549
Adv-ALSTM,stocknet,0.5,0.9,std,5,D.csv,0.0,0.0,,0.1297521575522111,0.2891500512722179,33,0,33,17,0.014095757052942382
Adv-ALSTM,stocknet,0.5,0.9,std,5,PCLN.csv,0.0,0.0,,0.16484203457895338,0.1738056311400615,44,0,44,20,0.02188172997294946
Adv-ALSTM,stocknet,0.5,0.9,std,5,AAPL.csv,0.0,0.0,,0.15734064829290392,0.18977009320392185,46,0,46,20,0.018338353754259712
Adv-ALSTM,stocknet,0.5,0.9,std,5,PG.csv,0.0,0.0,,-0.009787742731025223,-0.0213012957040212,35,0,35,13,0.012824976886418893
Adv-ALSTM,stocknet,0.5,0.9,std,5,BA.csv,0.0,0.0,,0.09508913099536323,0.13159843331902618,43,0,43,18,0.01675736893067068
Adv-ALSTM,stocknet,0.5,0.9,std,5,BABA.csv,0.0,0.0,,0.2241573377586835,0.17106895830488794,50,0,50,17,0.02575052395538798
Adv-ALSTM,stocknet,0.5,0.9,std,5,CAT.csv,0.0,0.0,,0.3660790965071534,0.3965709682840201,50,0,50,18,0.019855736599172894
Adv-ALSTM,stocknet,0.5,0.9,std,5,AMZN.csv,0.0,0.0,,0.15225292442403648,0.16081508757351093,48,0,48,18,0.019000182210854477
Adv-ALSTM,stocknet,0.5,0.9,std,5,UN.csv,0.0,0.0,,0.10206672789484357,0.16585548811047626,40,0,40,16,0.015516677393217394
Adv-ALSTM,stocknet,0.5,0.9,std,5,PFE.csv,0.0,0.0,,0.1706720533565673,0.23259280584575706,40,0,40,23,0.018821927861896896
Adv-ALSTM,stocknet,0.5,0.9,std,5,REX.csv,0.0,0.0,,0.4197176107634648,0.2495066413140049,54,0,54,29,0.03210450212086071
