method,dataset,dropout,prob,prob measure,run,ticker filename,total log return,avg log return,sharpe ratio,best benchmark log return,best benchmark sharpe ratio,total trading days skipped,total trading days successful,total trading days,total trading days correctly skipped,std log return before action
Adv-ALSTM,stocknet,0.5,1.0,std,5,UL.csv,0.0,0.0,,-0.0323820034247283,-0.058010324261552226,37,0,37,16,0.015005631687421068
Adv-ALSTM,stocknet,0.5,1.0,std,5,JNJ.csv,0.0,0.0,,0.04690755788377212,0.10793881639754492,34,0,34,11,0.01246777982166158
Adv-ALSTM,stocknet,0.5,1.0,std,5,UNH.csv,0.0,0.0,,0.15763655478392508,0.1734812931103044,46,0,46,20,0.02005337225286516
Adv-ALSTM,stocknet,0.5,1.0,std,5,DHR.csv,0.0,0.0,,-0.06351277891388754,-0.12313684705108953,32,0,32,13,0.01603798763723474
Adv-ALSTM,stocknet,0.5,1.0,std,5,INTC.csv,0.0,0.0,,0.07433696839179622,0.10829050006889628,43,0,43,17,0.015564356522974943
Adv-ALSTM,stocknet,0.5,1.0,std,5,EXC.csv,0.0,0.0,,0.05629461447597818,0.07094430970460752,45,0,45,22,0.01762724722763679
Adv-ALSTM,stocknet,0.5,1.0,std,5,SNY.csv,0.0,0.0,,0.3063201627120992,0.3561496417364679,43,0,43,17,0.02113332162310807
Adv-ALSTM,stocknet,0.5,1.0,std,5,UTX.csv,0.0,0.0,,0.14739036505025166,0.25622689004611965,39,0,39,15,0.015012787701121166
Adv-ALSTM,stocknet,0.5,1.0,std,5,MRK.csv,0.0,0.0,,0.03338299647634595,0.04937032865247847,37,0,37,14,0.018186319375141514
Adv-ALSTM,stocknet,0.5,1.0,std,5,KO.csv,0.0,0.0,,0.003123607721156966,0.006477741500938248,38,0,38,20,0.012446238381806559
Adv-ALSTM,stocknet,0.5,1.0,std,5,TSM.csv,0.0,0.0,,0.1940886337801749,0.2925811798600195,42,0,42,15,0.016334212109280734
Adv-ALSTM,stocknet,0.5,1.0,std,5,HSBC.csv,0.0,0.0,,0.15321347454396794,0.2585594468472051,42,0,42,15,0.014574259716409172
Adv-ALSTM,stocknet,0.5,1.0,std,5,PICO.csv,0.0,0.0,,-0.1687385576488277,-0.09583954155825523,54,0,54,27,0.03273939666827286
Adv-ALSTM,stocknet,0.5,1.0,std,5,SLB.csv,0.0,0.0,,0.11271048103142114,0.1194079431654574,48,0,48,24,0.01980414897383754
Adv-ALSTM,stocknet,0.5,1.0,std,5,SPLP.csv,0.0,0.0,,0.10430378444427099,0.17433700985656933,36,0,36,17,0.016872129248032077
Adv-ALSTM,stocknet,0.5,1.0,std,5,LMT.csv,0.0,0.0,,0.11268552134217293,0.2087211924622432,41,0,41,22,0.013445485532977688
Adv-ALSTM,stocknet,0.5,1.0,std,5,XOM.csv,0.0,0.0,,0.13151924616397995,0.15092292028179627,46,0,46,21,0.019131650627208306
Adv-ALSTM,stocknet,0.5,1.0,std,5,ABB.csv,0.0,0.0,,0.2671522103716465,0.5088687786494224,42,0,42,15,0.014043406562376836
Adv-ALSTM,stocknet,0.5,1.0,std,5,AMGN.csv,0.0,0.0,,0.3608927252843402,0.3957868605058532,47,0,47,16,0.02063517759467536
Adv-ALSTM,stocknet,0.5,1.0,std,5,WMT.csv,0.0,0.0,,0.13879726799603134,0.16488620638745194,39,0,39,23,0.02185149689970355
