method,dataset,dropout,avg total val predicted return,avg total tes predicted return,avg val predicted return,avg tes predicted return,avg val sharpe ratio,avg tes sharpe ratio,prob,prob measure
Adv-ALSTM,kdd17,0.5,2.6091983516996873,1.5052836198122987,0.00032332073750925493,0.00020347169773077842,0.02522362500488729,0.016031958286892238,0.2,var
Adv-ALSTM,kdd17,0.5,1.6235885063569502,2.9063387696908416,0.00020118816683481415,0.0003928546593256071,0.012148932934860107,0.02382227050423787,0.1,var
Adv-ALSTM,kdd17,0.5,-0.5114386581775543,5.672673283130653,-6.337529841109719e-05,0.0007667847098040893,-0.0032748477949998203,0.03910425289988088,0.0,var
Adv-ALSTM,kdd17,0.5,0.0,0.0,0.0,0.0,,,1.0,entr
Adv-ALSTM,kdd17,0.5,0.0,0.0,0.0,0.0,,,0.9,entr
Adv-ALSTM,kdd17,0.5,0.0,0.0,0.0,0.0,,,0.8,entr
Adv-ALSTM,kdd17,0.5,0.0,0.0,0.0,0.0,,,0.7,entr
Adv-ALSTM,kdd17,0.5,2.5652075262388125,1.1831271592002706,0.000317869581937895,0.00015992527158695195,0.02525844905088919,0.012899922407774383,0.6,entr
Adv-ALSTM,kdd17,0.5,1.7341021730586896,2.3316198331766813,0.000214882549325736,0.0003151689420352367,0.014483032831239265,0.02158366890930754,0.5,entr
Adv-ALSTM,kdd17,0.5,1.3651349224636078,2.9122154944406278,0.00016916170042919552,0.0003936490260125206,0.010502265234370613,0.024790126989779976,0.4,entr
Adv-ALSTM,kdd17,0.5,1.051979380266502,2.6911895506124544,0.00013035680052868675,0.00036377258050992897,0.007632136960211929,0.021087215602682105,0.3,entr
Adv-ALSTM,kdd17,0.5,0.21304299592252318,3.4859996944536533,2.639937991604996e-05,0.00047120839341087504,0.0014735623062260535,0.026055658402163492,0.2,entr
Adv-ALSTM,kdd17,0.5,-0.07284557309850503,4.482177237733319,-9.026712899443003e-06,0.0006058633735784427,-0.00048350714986120736,0.03197269671184046,0.1,entr
Adv-ALSTM,kdd17,0.5,-0.5114386581775543,5.672673283130653,-6.337529841109719e-05,0.0007667847098040893,-0.0032748477949998203,0.03910425289988088,0.0,entr
